sample_index,raw_code,voltage_mV,sample_rate_hz
0,2046,-0.976562,25000000.000
1,2045,-1.464844,25000000.000
2,2045,-1.464844,25000000.000
3,2045,-1.464844,25000000.000
4,2045,-1.464844,25000000.000
5,2044,-1.953125,25000000.000
6,2045,-1.464844,25000000.000
7,2045,-1.464844,25000000.000
8,2045,-1.464844,25000000.000
9,2046,-0.976562,25000000.000
10,2046,-0.976562,25000000.000
11,2045,-1.464844,25000000.000
12,2045,-1.464844,25000000.000
13,2046,-0.976562,25000000.000
14,2045,-1.464844,25000000.000
15,2045,-1.464844,25000000.000
16,2047,-0.488281,25000000.000
17,2046,-0.976562,25000000.000
18,2047,-0.488281,25000000.000
19,2047,-0.488281,25000000.000
20,2046,-0.976562,25000000.000
21,2047,-0.488281,25000000.000
22,2046,-0.976562,25000000.000
23,2046,-0.976562,25000000.000
24,2047,-0.488281,25000000.000
25,2046,-0.976562,25000000.000
26,2048,0.000000,25000000.000
27,2046,-0.976562,25000000.000
28,2045,-1.464844,25000000.000
29,2046,-0.976562,25000000.000
30,2047,-0.488281,25000000.000
31,2046,-0.976562,25000000.000
32,2046,-0.976562,25000000.000
33,2046,-0.976562,25000000.000
34,2046,-0.976562,25000000.000
35,2047,-0.488281,25000000.000
36,2049,0.488281,25000000.000
37,2045,-1.464844,25000000.000
38,2047,-0.488281,25000000.000
39,2043,-2.441406,25000000.000
40,2046,-0.976562,25000000.000
41,2047,-0.488281,25000000.000
42,2044,-1.953125,25000000.000
43,2045,-1.464844,25000000.000
44,2046,-0.976562,25000000.000
45,2046,-0.976562,25000000.000
46,2047,-0.488281,25000000.000
47,2046,-0.976562,25000000.000
48,2047,-0.488281,25000000.000
49,2046,-0.976562,25000000.000
50,2046,-0.976562,25000000.000
51,2046,-0.976562,25000000.000
52,2046,-0.976562,25000000.000
53,2046,-0.976562,25000000.000
54,2047,-0.488281,25000000.000
55,2046,-0.976562,25000000.000
56,2047,-0.488281,25000000.000
57,2046,-0.976562,25000000.000
58,2046,-0.976562,25000000.000
59,2046,-0.976562,25000000.000
60,2046,-0.976562,25000000.000
61,2046,-0.976562,25000000.000
62,2046,-0.976562,25000000.000
63,2046,-0.976562,25000000.000
64,2045,-1.464844,25000000.000
65,2046,-0.976562,25000000.000
66,2047,-0.488281,25000000.000
67,2047,-0.488281,25000000.000
68,2047,-0.488281,25000000.000
69,2045,-1.464844,25000000.000
70,2046,-0.976562,25000000.000
71,2046,-0.976562,25000000.000
72,2046,-0.976562,25000000.000
73,2046,-0.976562,25000000.000
74,2045,-1.464844,25000000.000
75,2046,-0.976562,25000000.000
76,2046,-0.976562,25000000.000
77,2045,-1.464844,25000000.000
78,2045,-1.464844,25000000.000
79,2045,-1.464844,25000000.000
80,2046,-0.976562,25000000.000
81,2046,-0.976562,25000000.000
82,2046,-0.976562,25000000.000
83,2045,-1.464844,25000000.000
84,2045,-1.464844,25000000.000
85,2045,-1.464844,25000000.000
86,2046,-0.976562,25000000.000
87,2045,-1.464844,25000000.000
88,2046,-0.976562,25000000.000
89,2045,-1.464844,25000000.000
90,2045,-1.464844,25000000.000
91,2045,-1.464844,25000000.000
92,2046,-0.976562,25000000.000
